,state,county,candidate,party,total_votes_x,won,total_votes_y
388,Florida,Martin County,Donald Trump,REP,61168,True,11067456
389,Florida,Martin County,Joe Biden,DEM,36893,False,11067456
390,Florida,Martin County,Jo Jorgensen,LIB,448,False,11067456
391,Florida,Martin County,Howie Hawkins,GRN,105,False,11067456
392,Florida,Martin County,Rocky De La Fuente,ALI,38,False,11067456
393,Florida,Martin County,Don Blankenship,CST,37,False,11067456
394,Florida,Martin County,Gloria La Riva,PSL,35,False,11067456
395,Florida,Martin County, Write-ins,WRI,2,False,11067456
396,Florida,Miami-Dade County,Joe Biden,DEM,617864,True,11067456
397,Florida,Miami-Dade County,Donald Trump,REP,532833,False,11067456
398,Florida,Miami-Dade County,Jo Jorgensen,LIB,3329,False,11067456
399,Florida,Miami-Dade County,Howie Hawkins,GRN,1289,False,11067456
400,Florida,Miami-Dade County,Rocky De La Fuente,ALI,602,False,11067456
401,Florida,Miami-Dade County,Gloria La Riva,PSL,579,False,11067456
402,Florida,Miami-Dade County,Don Blankenship,CST,293,False,11067456
403,Florida,Miami-Dade County, Write-ins,WRI,27,False,11067456
404,Florida,Monroe County,Donald Trump,REP,25693,True,11067456
405,Florida,Monroe County,Joe Biden,DEM,21881,False,11067456
406,Florida,Monroe County,Jo Jorgensen,LIB,348,False,11067456
407,Florida,Monroe County,Howie Hawkins,GRN,51,False,11067456
408,Florida,Monroe County,Rocky De La Fuente,ALI,26,False,11067456
409,Florida,Monroe County,Gloria La Riva,PSL,14,False,11067456
410,Florida,Monroe County,Don Blankenship,CST,12,False,11067456
411,Florida,Monroe County, Write-ins,WRI,4,False,11067456
412,Florida,Nassau County,Donald Trump,REP,42566,True,11067456
413,Florida,Nassau County,Joe Biden,DEM,15564,False,11067456
414,Florida,Nassau County,Jo Jorgensen,LIB,569,False,11067456
415,Florida,Nassau County,Howie Hawkins,GRN,43,False,11067456
416,Florida,Nassau County,Rocky De La Fuente,ALI,28,False,11067456
417,Florida,Nassau County,Don Blankenship,CST,24,False,11067456
418,Florida,Nassau County,Gloria La Riva,PSL,12,False,11067456
419,Florida,Nassau County, Write-ins,WRI,5,False,11067456
420,Florida,Okaloosa County,Donald Trump,REP,79798,True,11067456
421,Florida,Okaloosa County,Joe Biden,DEM,34248,False,11067456
422,Florida,Okaloosa County,Jo Jorgensen,LIB,1881,False,11067456
